antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,algorithm,context,context_n,support_count,rule_str,normalized_rule
"frozenset({'previous_deep', 'card_utilisation_moderate'})",frozenset({'previous_outcome_mixed'}),0.16650713674194045,0.3234901966288192,0.07518771666362577,0.45155852256443973,1.3958955395565489,1.0,0.02132429025887376,1.2335132027840983,0.34027167869489505,0.18125837404755782,0.1893074206721484,0.3419925460234234,fpgrowth,Portfolio-wide,356255,26786,"{card_utilisation_moderate, previous_deep} -> {previous_outcome_mixed}","{card_utilisation_moderate, previous_deep} -> {previous_outcome_mixed}"
"frozenset({'previous_outcome_mixed', 'card_utilisation_moderate'})",frozenset({'previous_deep'}),0.0967003971874079,0.3972912660874935,0.07518771666362577,0.777532656023222,1.9570846942605322,1.0,0.03676949343387699,2.7092009242283197,0.5413883814446441,0.17952962781750792,0.6308874727389084,0.4833917616438061,fpgrowth,Portfolio-wide,356255,26786,"{card_utilisation_moderate, previous_outcome_mixed} -> {previous_deep}","{card_utilisation_moderate, previous_outcome_mixed} -> {previous_deep}"
"frozenset({'leverage_under_3x', 'card_utilisation_moderate'})",frozenset({'previous_outcome_mixed'}),0.11758150762796311,0.3234901966288192,0.04597830205891847,0.39103344553462727,1.2087953502445976,1.0,0.007941837036435674,1.1109145459804537,0.19574624573177218,0.11637324694147236,0.09984075407219055,0.26658271261502936,fpgrowth,Portfolio-wide,356255,16380,"{card_utilisation_moderate, leverage_under_3x} -> {previous_outcome_mixed}","{card_utilisation_moderate, leverage_under_3x} -> {previous_outcome_mixed}"
"frozenset({'previous_outcome_mixed', 'card_utilisation_moderate'})",frozenset({'repayment_some_late'}),0.0967003971874079,0.44470674095802165,0.05302101023143535,0.5483018867924528,1.232951597745648,1.0,0.010017691748876942,1.229345978664363,0.20916443726586828,0.10856371055807806,0.18655934345963263,0.3337643980036531,fpgrowth,Portfolio-wide,356255,18889,"{card_utilisation_moderate, previous_outcome_mixed} -> {repayment_some_late}","{card_utilisation_moderate, previous_outcome_mixed} -> {repayment_some_late}"
"frozenset({'previous_outcome_mixed', 'repayment_some_late'})",frozenset({'card_utilisation_moderate'}),0.14903089079451518,0.25667850275785603,0.05302101023143535,0.35577194733769046,1.3860605524620684,1.0,0.014767984317629643,1.1538173387053314,0.3273101167810953,0.15033387187915348,0.13331168942037716,0.2811688930831252,fpgrowth,Portfolio-wide,356255,18889,"{previous_outcome_mixed, repayment_some_late} -> {card_utilisation_moderate}","{previous_outcome_mixed, repayment_some_late} -> {card_utilisation_moderate}"
"frozenset({'previous_deep', 'external_score_strong'})",frozenset({'card_utilisation_moderate'}),0.1228642405018877,0.25667850275785603,0.05388275252277161,0.438555207785977,1.7085778632568183,1.0,0.02234614322826594,1.3239440592384897,0.4728092758907705,0.1654570842455481,0.24468107770717806,0.32423916464668207,fpgrowth,Portfolio-wide,356255,19196,"{external_score_strong, previous_deep} -> {card_utilisation_moderate}","{external_score_strong, previous_deep} -> {card_utilisation_moderate}"
"frozenset({'card_utilisation_moderate', 'external_score_strong'})",frozenset({'previous_deep'}),0.08813069290255575,0.3972912660874935,0.05388275252277161,0.6113959932477625,1.538911235750946,1.0,0.018869197958347163,1.550958619674696,0.3840352327450502,0.12486177782981436,0.355237472286821,0.3735106533850109,fpgrowth,Portfolio-wide,356255,19196,"{card_utilisation_moderate, external_score_strong} -> {previous_deep}","{card_utilisation_moderate, external_score_strong} -> {previous_deep}"
"frozenset({'card_utilisation_moderate', 'external_score_strong'})",frozenset({'repayment_some_late'}),0.08813069290255575,0.44470674095802165,0.048709491796606365,0.5526961174634519,1.242832785203101,1.0,0.009517178577538546,1.2414228463501136,0.21427032188115125,0.10061284954746541,0.19447269482748508,0.33111391599270723,fpgrowth,Portfolio-wide,356255,17353,"{card_utilisation_moderate, external_score_strong} -> {repayment_some_late}","{card_utilisation_moderate, external_score_strong} -> {repayment_some_late}"
"frozenset({'repayment_some_late', 'external_score_strong'})",frozenset({'card_utilisation_moderate'}),0.13776087353159955,0.25667850275785603,0.048709491796606365,0.3535800154855536,1.3775209520335718,1.0,0.013349237039901034,1.1499048838975554,0.31784480688780564,0.1408888672382437,0.1303628552210848,0.2716742525728896,fpgrowth,Portfolio-wide,356255,17353,"{external_score_strong, repayment_some_late} -> {card_utilisation_moderate}","{external_score_strong, repayment_some_late} -> {card_utilisation_moderate}"
"frozenset({'card_utilisation_moderate', 'external_score_strong'})",frozenset({'bureau_debt_low'}),0.08813069290255575,0.504579584847932,0.05354310816690292,0.6075421218587763,1.2040560896689365,1.0,0.009074159729770756,1.2623530899634376,0.18585328577518137,0.09930706316606015,0.20782861154246188,0.35682820966742074,fpgrowth,Portfolio-wide,356255,19075,"{card_utilisation_moderate, external_score_strong} -> {bureau_debt_low}","{card_utilisation_moderate, external_score_strong} -> {bureau_debt_low}"
"frozenset({'card_utilisation_moderate', 'external_score_strong'})",frozenset({'credit_large'}),0.08813069290255575,0.3220389889264712,0.036187562279827654,0.41061247889925795,1.2750396474291816,1.0,0.007806043044099268,1.1502805655053006,0.23655874927472795,0.09676281401754822,0.1306468786937077,0.261491303252711,fpgrowth,Portfolio-wide,356255,12892,"{card_utilisation_moderate, external_score_strong} -> {credit_large}","{card_utilisation_moderate, external_score_strong} -> {credit_large}"
"frozenset({'previous_deep', 'repayment_clean_observed'})",frozenset({'card_utilisation_moderate'}),0.1285848619668496,0.25667850275785603,0.0483894962877714,0.376323429893689,1.4661275714573687,1.0,0.015384526440794861,1.191838098255701,0.36484460702262006,0.14364277203302975,0.160959864042325,0.2824226206476636,fpgrowth,Portfolio-wide,356255,17239,"{previous_deep, repayment_clean_observed} -> {card_utilisation_moderate}","{previous_deep, repayment_clean_observed} -> {card_utilisation_moderate}"
"frozenset({'card_utilisation_moderate', 'repayment_clean_observed'})",frozenset({'previous_deep'}),0.08660650376836816,0.3972912660874935,0.0483894962877714,0.558728203798535,1.4063440389738875,1.0,0.013981488754225141,1.3658446769105015,0.3163329281811075,0.11111039496751574,0.26785232837604256,0.3402633720547746,fpgrowth,Portfolio-wide,356255,17239,"{card_utilisation_moderate, repayment_clean_observed} -> {previous_deep}","{card_utilisation_moderate, repayment_clean_observed} -> {previous_deep}"
"frozenset({'card_utilisation_moderate', 'repayment_clean_observed'})",frozenset({'previous_outcome_mixed'}),0.08660650376836816,0.3234901966288192,0.036802290494168506,0.4249367991184288,1.3136002374934779,1.0,0.008785935560804516,1.1764094839212316,0.26136970621134986,0.09858784251210637,0.14995584983998947,0.26935156151851847,fpgrowth,Portfolio-wide,356255,13111,"{card_utilisation_moderate, repayment_clean_observed} -> {previous_outcome_mixed}","{card_utilisation_moderate, repayment_clean_observed} -> {previous_outcome_mixed}"
"frozenset({'leverage_under_3x', 'card_utilisation_moderate'})",frozenset({'credit_small'}),0.11758150762796311,0.334033206551487,0.06491417664313483,0.552078111198644,1.6527641574866845,1.0,0.02563804861900818,1.4867922512798997,0.4475801453695506,0.16786678667866786,0.32741107633621747,0.3732063062946943,fpgrowth,Portfolio-wide,356255,23126,"{card_utilisation_moderate, leverage_under_3x} -> {credit_small}","{card_utilisation_moderate, leverage_under_3x} -> {credit_small}"
